ID,States,yr_2010,yr_2011,yr_2012,yr_2013,yr_2014,yr_2015,yr_2016,yr_2017,yr_2018,yr_2019,yr_2020,yr_2021,yr_2022,yr_2023,Change11_17,Change17_23,percChange11_17,percChange17_23,Latitude,Longitude
0,Alabama,4729509,4745278,4764428,4781296,4791931,4801599,4810126,4819343,4838040,4850840,4863641,4876441,4889241,4902042,74065,82699,2%,2%,32.806671,-86.79113
1,Alaska,702974,711962,721186,725193,725206,727862,731760,730874,738966,742708,746450,750192,753934,757676,18912,26802,3%,4%,61.370716,-152.404419
2,Arizona,6332786,6402301,6468907,6543362,6651964,6747595,6851836,6935358,7013746,7101965,7190183,7278402,7366620,7454838,533057,519480,8%,7%,33.729759,-111.431221
3,Arkansas,2888304,2906632,2912680,2923642,2931123,2938341,2949650,2968395,2973428,2983668,2993908,3004149,3014389,3024629,61763,56234,2%,2%,34.969704,-92.373123
4,California,36907897,37222678,37572738,37873189,38340324,38675135,38783436,39085984,39494711,39814053,40133395,40452737,40772079,41091421,1863306,2005437,5%,5%,36.116203,-119.681564
5,Colorado,4988190,5048443,5123944,5206012,5293943,5393067,5476928,5542282,5629621,5711959,5794296,5876634,5958972,6041310,493839,499028,10%,9%,39.059811,-105.311104
6,Connecticut,3541146,3548667,3555319,3562959,3558915,3554844,3541758,3556297,3556026,3556812,3557599,3558385,3559171,3559957,7630,3660,0%,0%,41.597782,-72.755371
7,Delaware,889812,897187,906576,914025,924770,935813,942073,952449,961124,970188,979252,988315,997379,1006443,55262,53994,6%,6%,39.318523,-75.507141
8,District of Columbia ,596747,611608,624847,636535,648586,663006,672022,684810,698254,710695,723136,735577,748018,760459,73202,75649,12%,11%,38.897438,-77.026817
9,Florida,18647600,18863948,19114620,19345059,19683763,20068392,20401575,20772371,20992249,21298934,21605619,21912305,22218990,22525675,1908423,1753304,10%,8%,27.766279,-81.686783
10,Georgia,9587237,9699859,9796547,9870319,9970167,10088525,10179860,10299497,10384445,10483988,10583530,10683073,10782616,10882159,599638,582662,6%,6%,33.040619,-83.643074
11,Hawaii,1346274,1357806,1374852,1387361,1401004,1414355,1410258,1410750,1433140,1443209,1453277,1463345,1473414,1483482,52944,72732,4%,5%,21.094318,-157.498337
12,Idaho,1550967,1559637,1573036,1592596,1613068,1635366,1663756,1694182,1703035,1723637,1744239,1764840,1785442,1806044,134545,111862,9%,7%,44.240459,-114.478828
13,Illinois,12680126,12718402,12725119,12740816,12730206,12706393,12654142,12659328,12673227,12666874,12660520,12654167,12647814,12641461,-59074,-17867,0%,0%,40.349457,-88.986137
14,Indiana,6414862,6437155,6457067,6492306,6516181,6540691,6554084,6591598,6612808,6637767,6662726,6687684,6712643,6737602,154443,146004,2%,2%,39.849426,-86.258278
15,Iowa,3013053,3027718,3035469,3053635,3067872,3081446,3097283,3106880,3122390,3136161,3149932,3163704,3177475,3191246,79162,84366,3%,3%,42.011539,-93.210526
16,Kansas,2820894,2833584,2848708,2854869,2866584,2875640,2870529,2876925,2891830,2899800,2907770,2915739,2923709,2931679,43341,54754,2%,2%,38.5266,-96.726486
17,Kentucky,4296639,4316297,4328626,4345186,4357819,4373403,4385213,4404279,4417630,4432452,4447274,4462096,4476917,4491739,87982,87460,2%,2%,37.66814,-84.670067
18,Louisiana,4483529,4518629,4545914,4568320,4593505,4612024,4622042,4629962,4666327,4687346,4708365,4729384,4750404,4771423,111333,141461,2%,3%,31.169546,-91.867805
19,Maine,1313902,1315833,1315586,1315753,1317638,1317444,1319292,1322591,1321839,1322858,1323877,1324896,1325914,1326933,6758,4342,1%,0%,44.693947,-69.381927
20,Maryland,5716785,5759087,5816472,5857213,5911235,5934005,5949566,5988007,6041059,6079840,6118620,6157401,6196181,6234962,228920,246955,4%,4%,39.063946,-76.802101
21,Massachusetts,6489250,6515057,6580641,6619999,6674907,6725678,6745441,6789798,6843263,6887855,6932448,6977041,7021633,7066226,274741,276428,4%,4%,42.230171,-71.530106
22,Michigan,9762127,9766574,9778980,9784094,9795659,9811416,9813772,9851330,9847420,9858959,9870498,9882037,9893576,9905115,84756,53785,1%,1%,43.326618,-84.536095
23,Minnesota,5244256,5277329,5315228,5353441,5385219,5419822,5455904,5510902,5536600,5573563,5610527,5647491,5684455,5721418,233573,210516,4%,4%,45.694454,-93.900192
24,Mississippi,2931228,2943021,2947696,2957797,2957658,2959289,2951081,2946971,2959261,2961465,2963669,2965873,2968077,2970281,3950,23310,0%,1%,32.741646,-89.678696
25,Missouri,5920858,5937896,5951913,5973448,5992195,6015580,6022165,6039877,6060182,6077613,6095045,6112476,6129907,6147338,101981,107461,2%,2%,38.456085,-92.288368
26,Montana,978507,987076,995544,1003013,1012169,1019646,1032794,1039170,1047848,1056595,1065341,1074087,1082834,1091580,52094,52410,5%,5%,46.921925,-110.454353
27,Nebraska,1802697,1817126,1829420,1842900,1855356,1869217,1882987,1894217,1908265,1921381,1934498,1947614,1960731,1973847,77091,79630,4%,4%,41.12537,-98.268082
28,Nevada,2667364,2688336,2725280,2757365,2806170,2859489,2907243,2963456,2990692,3033771,3076849,3119928,3163007,3206086,275120,242630,10%,8%,38.313515,-117.055374
29,New Hampshire,1303865,1305678,1309203,1310978,1314735,1318121,1322101,1330742,1330540,1334121,1337701,1341282,1344862,1348443,25064,17701,2%,1%,43.452492,-71.563896
30,New Jersey,8709933,8719952,8772744,8803679,8840346,8854363,8852286,8910191,8933562,8961478,8989395,9017312,9045228,9073145,190239,162954,2%,2%,40.298904,-74.521011
31,New Mexico,2039549,2055293,2060595,2059689,2060189,2060441,2057857,2062628,2066374,2068450,2070526,2072603,2074679,2076755,7335,14127,0%,1%,34.840515,-106.248482
32,New York,19171916,19248685,19352153,19431954,19528220,19570171,19526443,19638923,19723281,19787664,19852047,19916429,19980812,20045195,390238,406272,2%,2%,42.165726,-74.948051
33,North Carolina,9443000,9539412,9640490,9737365,9832152,9927547,10032407,10158556,10240464,10340819,10441174,10541529,10641884,10742239,619144,583683,6%,6%,35.630066,-79.806419
34,North Dakota,665654,675161,689838,714804,729874,745291,746271,744641,772329,785303,798278,811253,824228,837203,69480,92562,10%,12%,47.528912,-99.784012
35,Ohio,11405101,11418944,11414635,11439593,11464891,11482142,11481752,11520109,11525552,11541587,11557621,11573656,11589691,11605726,101165,85617,1%,1%,40.388783,-82.764915
36,Oklahoma,3716264,3742698,3762311,3801521,3827288,3864908,3873232,3875922,3920723,3945769,3970815,3995860,4020906,4045952,133224,170030,4%,4%,35.565342,-96.928917
37,Oregon,3794008,3828714,3857465,3888216,3927857,3985712,4052221,4102048,4127648,4171674,4215700,4259726,4303752,4347779,273334,245731,7%,6%,44.572021,-122.070938
38,Pennsylvania,12577555,12610486,12630082,12639493,12645888,12662192,12645493,12674642,12687017,12698414,12709811,12721208,12732606,12744003,64156,69361,1%,1%,40.590752,-77.209755
39,Rhode Island,1042240,1040022,1040527,1040986,1045791,1045062,1045691,1048549,1048479,1049561,1050644,1051726,1052809,1053891,8527,5342,1%,1%,41.680893,-71.51178
40,South Carolina,4577399,4624180,4668886,4720602,4780659,4839984,4903788,4966211,5011628,5067498,5123368,5179238,5235108,5290978,342031,324767,7%,7%,33.856892,-80.945007
41,South Dakota,805616,814175,821669,832703,842076,848285,853832,856726,868954,876635,884317,891999,899681,907363,42551,50637,5%,6%,44.299782,-99.438828
42,Tennessee,6282706,6333466,6378278,6419226,6471445,6522259,6580953,6642072,6680791,6731234,6781676,6832118,6882561,6933003,308606,290931,5%,4%,35.747845,-86.692345
43,Texas,24899075,25327104,25711791,26087349,26588600,27092848,27472626,27924632,28346089,28781219,29216349,29651479,30086609,30521739,2597528,2597107,10%,9%,31.054487,-97.563461
44,Utah,2724064,2769627,2805440,2854667,2894001,2947423,3002244,3056193,3093490,3140553,3187615,3234678,3281741,3328804,286566,272611,10%,9%,40.150032,-111.862434
45,Vermont,619363,621354,620224,621256,620898,619952,619387,619089,619498,619344,619190,619036,618882,618728,-2265,-361,0%,0%,44.045876,-72.710686
46,Virginia,7930773,7996552,8085389,8163664,8224054,8283737,8312297,8372522,8456466,8519876,8583286,8646695,8710105,8773514,375970,400992,5%,5%,37.769337,-78.169968
47,Washington,6661321,6748474,6815763,6888552,6979369,7089143,7202119,7318811,7379816,7472454,7565093,7657731,7750369,7843007,570337,524196,8%,7%,47.400902,-121.490494
48,West Virginia,1833535,1836614,1837518,1837863,1831414,1823753,1810709,1798306,1803507,1798460,1793414,1788368,1783322,1778276,-38308,-20030,-2%,-1%,38.491226,-80.954453
49,Wisconsin,5623196,5647213,5660677,5681024,5692727,5708201,5712104,5731549,5748365,5763094,5777822,5792551,5807279,5822008,84336,90459,1%,2%,44.268543,-89.616508
50,Wyoming,556954,561389,569734,575933,577782,579102,577567,573483,583629,586326,589023,591720,594417,597114,12094,23631,2%,4%,42.755966,-107.30249